,eventClass,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,agencyLGUsPresentPreparedness,declarationOfCalamity,evacuationPlan,evacuationCenters,rescueUnit,rescueEquipment,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresentAssistance,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers1,itemCostOthers2,srrDone,policyChanges,postStructureCost,postTraining,reference,otherDescription,otherDescription,otherDescription,startDate,endDate,id
76,I,Tornado,Tornado/Whirlwind,10:00PM 17 August 2004,,,"Brgy., Boulevard, Molo, Iloilo City",,,,,,,,,,,,4,20,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-17,2004-08-17,2a619f8778c340a78161150534c4a29b
77,M,Earthquake (Ground Movement),6 instances,2004-08-02 00:00:00,,,I|II|V|CARAGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-02,2004-08-02,f3b6e4f5f7ad4c609f3ca16b63cf1555
78,M,Earthquake (Ground Movement) -Tectonic,Earthquake swarm (3756 recorded instances; Intensity II-IV),"6:00AM July 29 - August 4, 2004",,,Batanes,,Basco Seismic Station; Mabuhay Satellite,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-07-29,2004-08-04,2ec034301b64416585b89c1a4620198d
105,M,Earthquake (Ground Movement),Earthquake,2 August 2004,,,"Basco, Batanes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-02,2004-08-02,2c86527768bb4aaa9222c69e19c780d2
106,M,Earthquake (Ground Movement),Earthquake Magnitude 3.0 - Tectonic,10:28 9 August 2004,17,119.7,"San Juan, La Union|Baguio City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,depth of 018.4km (shallow) Manila Trench,,2004-08-09,2004-08-09,a58bc36ba3744b06ad7149d1d0570538
107,M,Earthquake (Ground Movement),Earthquake (Intensity III-IV) Magnitude 4.0 - Tectonic,4:36 AM 10 August 2004,9.76,125.44,Surigao City|Butuan City,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,depth of focus 022.4kms (shallow) Philippine Fault Zone East Mindanao Segment,,2004-08-10,2004-08-10,636b254a490f42fb89ab6757fd02541f
108,M,Earthquake (Ground Movement),Earthquake -  (Magnitude 3.8) Tectonic,2:35 PM 19 August 2004,14.03,123.2,"Virac, Catanduanes|Legaspi City, Sorsogon | Irosin City, Sorsogon",,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,016.0 (shallow) ,,2004-08-19,2004-08-19,ab93fb57ee514bcba9a0c8359b5e4aff
110,I,Flashflood,,1 August 2004,,,"Brgy Rosario, Balingasag, Misamis Oriental",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-01,2004-08-01,d725511918bc4d5db3a227c3d99e7be0
111,I,Flashflood,Flashflood,29 July 2004,,,"Purok Masinadyahon & Mabinuligon, Banga, South Cotabato",,,,,,,,,,,,28,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-07-29,2004-07-29,a024a211803f4389a215413c132a548e
112,M,Flood (General),Flooding,25 July 2004,,,"Pagalugan, Datu Piang, Datu Saudi Ampatuan, Shariff Aguak, Suktan Sa Barongis, Datu Montawal, Datu Abdullah Sangki, Mamasapano, Datu Unsay, GSK Pendatun, Maguindanao del Sur",,,,,,,,149,1,,,20974,106290,,,,,1.7070417,13.512,,,,,,,,,,,,,,10 sacks,,,,,,10 boxes,,,,,,,Disaster Report Archives August 2004,,,,2004-07-25,2004-07-25,9aad4f9a05c8432f8eb94126af714641
113,M,Flood (General),Flooding,28 July 2004,,,"Polomolok, South Cotabato",,,State of Calamity - 2 August 2004,,,,,5,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-07-28,2004-07-28,f94e956be34b492696d4a0c81536dec6
114,M,Flood (General),Flooding,29 July 2004,,,"Pigkawayan, Cotabato",,,,,,,,12,,,,1968,,,,,,,31.61497354,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-07-29,2004-07-29,6f2bdec5a0b04a8c81b9d1ea29387bc2
115,M,Flashflood,Flashflood,1-6 August 2004,,,"Surallah, South Cotabato",,,,,,,,2,,,,47,195,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-01,2004-08-06,1bf500b259574998b4847ea93f63dace
116,M,Flood (General),Flooding,29 July 2004,,,Cotabato,,,,,,,,28,0,0,0,,30824,,,,,,31.61497354,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-07-29,2004-07-29,62700720ded04d2e952e4580dedaee38
117,M,Flood (General),Flooding,2004,,,Pangasinan|Tarlac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-01-01,2004-12-31,977d3e388b054aeea1ff216f62f3f4d2
118,M,Flood (General),Flood,3:00PM 6 August 2004,,,"Brgy. San Isidro &  San Juan, Pontevedra, Negros Occidental",,,,,1.0,,,2,,,,91,546,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,Merged data of two separate brgy in the the same city of the same disaster type and date. Consolidated Damage Report Region VI dated 9 August 2004 as of 5:00PM ,,2004-08-06,2004-08-06,5c2dfc46d70948b8a9deb648c40784de
119,M,Flood (General),Flood,3:00AM 11 August 2004,,,"Bayawan City, Negros Occidental",,,,,1.0,,,3,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-11,2004-08-11,7acb23b89a244ad685fc13c56eaba291
120,M,Flood (General),Flood,August 2004,,,"Tanjay City, Negros Oriental",,,,,,,,,,,,1000,,,,,,,200ha.,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-24,2004-08-24,fa8c2ae235644fdda7596b16417a6d1d
121,M,Flashflood,Flashflood,9:00Am 9 August 2004,,,South Cotabato,,,,,,,,,,,,,22,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-09,2004-08-09,75bedd71b77245f9b08bed56b385619d
122,I,Flashflood,Flashflood,15 August 2004,,,"Solico EGE, Bayawan City, Negros Oriental",,,,,,,,1,,,,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-15,2004-08-15,b10900d776ce4bfb83828e146b14619d
123,I,Flashflood,Flashflood,15 August 2004,,,"Sitio Calapnisan, Brgy Rumirang, Negros Occidental",,,,,,,,,,,,20,120,,,,,,,,,,,,,,,,,,,,"2 bags of rice, 1 box of sardines, 2 boxes of noodles",,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-15,2004-08-15,5ac7519d8659462f8265a5b4cd23a0a8
124,M,Flashflood,Flashflood,2:00AM 16 August 2004,,,"Poblacion, Glan, Sarangani",,,,,1.0,,,,0,0,0,150,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-16,2004-08-16,8a1fb23d3666478b8ae1cc920b014123
125,M,Flood (General),Flood,14 August 2004,,,Isabela|Negros Occidental,,,,,,,,,,,,20,120,,,,,,,,,,,,,,,,MDCC,,,,"2 bags of rice, 1 box of sardines, 2 boxes of noodles",,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-14,2004-08-14,03a7d66606bb45a4b5f8dc1be4db302d
126,I,Flood (General),Flood,16 August 2004,,,"Brgy. Poblacion, Imus, Cavite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-16,2004-08-16,4a92371580ed4872968545d997c7b14b
127,M,Flood (General),Flood,19 August 2004,,,Lanao del Sur,,,,,,,,108,12,,,3404,15867,,,,,,,,,,,,,,,"10,000 per victim",,,,,500 sacks of rice,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-19,2004-08-19,f57431832a234159aaf71851761cd0c0
128,I,Landslide (Wet),Eroded Road,2 August 2004,,,"Banga, South Cotabato",,,,,,,,,,,,,110,,,,,,,,,,"Road connecting S. Imbong, Brgy Lam-Apos and Lower Matlong, Brgy Lamba, Banga South Cotobato",,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-02,2004-08-02,21cd70b92d6645a38479c2756e57ff7f
130,I,Landslide (Wet),Landslide,1 August 2004,,,"Limotoc St, Brgy. Central, Mali, Davao Oriental",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-01,2004-08-01,2781c5ff7135416ebaae80316e5c9ca5
131,I,Landslide (Wet),Landslide,1:00AM 10 August 2004,,,Lanao del Sur,,,,,,,,11,6,0,0,360,,,,10,,,,,,,"Narciso Ramos National Highway from Marawi to Malabang, Lanao del Sur impassable (12-13Aug2004)",,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-10,2004-08-10,c954234ad2614430bbec55afee490444
132,I,Landslide (Wet),Landslide,12:00AM 15 August 2004,,,"Brgy. Silangan, San Mateo, Rizal",,,,,,,,,5,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-15,2004-08-15,07d734bbde2c412d912564e346900ca8
133,I,Landslide (Wet),,17 August 2004,,,"Sitio Pangang, Brgy. Balitong, Sarangani",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-17,2004-08-17,ef4810b748484a3fa05f7010d7e0a1d9
134,M,Viral Disease,Dengue,"January 1 - August 2, 2004",,,Tagum City,,CDCC Tagum ,State of Calamity - Tagum City,,,,,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,453 cases,,2004-01-01,2004-08-02,b51d85fbe77042dd8f3eaa229ddbbf03
135,M,Viral Disease,Dengue,07 July 2004,,,Pangasinan|La Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-07-07,2004-07-07,4023e89234014e46acd3e47803cc8131
136,M,Bacterial Disease,Acute Gastroenteritis/Cholera,May-August 2004,,,Pangasinan|La Union,,,,,,,,,,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,10385 cases; indicated under injury are confirmed cases,,2004-05-01,2004-08-31,15949ca1753a4edca373119e9f96e528
137,M,Viral Disease,Dengue,16 August 2004,,,"Guagua, Pampanga",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,36 confirmed cases,,2004-08-16,2004-08-16,f7acd67920fa453484cfd8f4f00c2e12
139,I,Water,Maritime,3 August 2004,,,"Surallah, South Cotabato",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-03,2004-08-03,f38040bd74294f50b0fa259ef643bd4f
140,I,Water,Capsized Motor Boat,4 August 2004,,,Lapu-Lapu City,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-04,2004-08-04,536ed6572e244314b673c2c6bf2c6ef7
141,I,Explosion (Misc),LPG Explosion - M/B Brosis,4:20PM 26 July 2004,,,Palawan,,,,,,PCG,,,4,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,10 unharmed,,2004-07-26,2004-07-26,61756a57571d481194d23e611c0fdb9c
143,I,Fire (Industrial),Block 03 Hilltop Market Upper Kayang St Fire,1:20AM 3 August 2004,,,Baguio City,,,,,,,,,0,0,0,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-03,2004-08-03,2a51dfe8807447678b612988f0b95a57
144,I,Fire (Misc),Fire,4:15PM 9 August 2004,,,"Poblacion, Ipil, Zamboanga Sibugay",,,,,,,,,,,,12,,,,12,,,,,,,,,,,,5000 per family,Local DCC,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-09,2004-08-09,e0e557d850594bfe9fed5f371d8cfac7
145,I,Fire (Misc),"In front of Central Market, Paquita St Fire",1:28PM 11 August 2004,,,"Sampaloc, City of Manila",,,3rd Alarm,,,"BFP, Volunteer Fire groups","11 BFP firetrucks, 1 EMS van of BFRP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-11,2004-08-11,61fa0e9e7fd04ba0a7ec0231b5b9f055
146,I,Fire (Misc),Fire,1:20PM-4:00PM 12 August 2004,,,"Brgy. Pagasa, Puerto Princesa City, Palawan",,,1st Alarm,,4.0,BFP,,4,3,,,1068,,,,,300,,,,,,,,,,,,"NFA, NDCC, DSWD",,,,"140 sacks of rice, 200pcs plastic mats, 200pcs blankets, 1000 fanily packs",,,,,,,,,,,,,Disaster Report Archives August 2004,,Fire began when a mentally unsound individual poured gasoline on himself and lit it up. He thereafter died ,,2004-08-12,2004-08-12,85848611adc74300bf4516664a641298
147,I,Fire (Misc),Jamisola St. Sta Lucia District  Fire,2:42-6:30 AM 16 August 2004,,,"Pagadian City, Zamboanga del Sur",,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-16,2004-08-16,0e08bd3648d34e41b1611a1d63f4cca3
148,I,Fire (Industrial),Agham Road Fire,7:10AM- 16 August 2004,,,Quezon City,,,,,1.0,"BFP, CIDAG",,,,1,,300,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-16,2004-08-16,387a9ea3d38046c4bfdaff69bbbfc1cd
149,I,Fire (Misc),Sta. Monica St. Malinta Fire,12:37AM-2:15AM 16 August 2004,,,City of Valenzuela,,TF Foxtrot,,,,BFP,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,Garment factory,,2004-08-16,2004-08-16,3839d72c1ce047b3be8478c548987dd3
150,I,Fire (Misc),J. Villanueva St. cor Tramo Fire,12:10AM-12:35AM 17 August 2004,,,Pasay City,,,,,,BFP,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-17,2004-08-17,ba67e7d58892449e91f27dadb26994a1
151,I,Fire (Misc),Pugoso P. Alonso Fire,2:00-2:30AM 17 August 2004,,,"Sta Cruz, City of Manila",,,,,,BFP,,1,1,,,,150,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-17,2004-08-17,a0c0d782fdfd42d3b4740067e5343188
152,I,Fire (Misc),Cristobal St. Fire,9:30 AM 17 August 2004,,,"Paco, City of Manila",,,4th Alarm,,,BFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-17,2004-08-17,8f9d5ca36d72412fa1ce4ab6dd8e2a48
153,I,Fire (Misc),Fire,5:50-6:20AM 17 August 2004,,,"Recodo, Zamboanga City",,,,,,BFP,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-17,2004-08-17,888fc16ce0d84e62afc1b34986874288
154,I,Fire (Misc),Tres de Abril Village Fire,7:15PM 17 August 2004,,,"Labangon, Cebu City",,,2nd Alarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-17,2004-08-17,78b113c16f454bcb9940051e3736e326
155,I,Fire (Misc),Nueno Ave. Fire,11:16PM-12:32AM 18-19 August 2004,,,"Brgy Poblacion, Imus, Cavite",,,,,,,19 fire trucks,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2018-08-19,2018-08-19,831c499d39364efbb8c8b0dcd6f717c9
156,I,Fire (Misc),Lower Kawayan Fire,2004-08-20 00:00:00,,,"Brgy. Sambog II, Cebu City",,,controlled after 12 mins,,,Cebu City Fire Station,,,0,0,0,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-20,2004-08-20,a0e7c842e9c249908f6836a3bcf2a371
157,I,Fire (Misc),Fire,12:40PM 21 August 2004,,,"Tabuk-Canal Pardo, Cebu City",,,2nd alarm,,,,,,0,0,0,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-21,2004-08-21,b3d4fcc2697b4786a9dd08d69a4c5eb3
158,I,Fire (Misc),Carlos Palanca St. Fire,4:00PM 21 August 2004,,,"Quiapo, City of Manila",,,3rd Alarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-21,2004-08-21,9a8a5afe582549e881dd27a0439bebc4
159,I,Armed Conflict,IDPs Deportees,6 August 2004,,,Zamboanga City,,,,,,,,,1,,,,,,,,,,,,,,,,,,,280000,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-06,2004-08-06,9cfdd996e535491ca531ea1f8e816708
160,M,Tropical Cyclone,Tropical Storm Karen,"August 12, 2004",,,I|II|III|IV-A|IV-B|V,,,,,,,,,,,,3249,19488,,,26,56,,,,,,,,,,,,,,,,"164 bags of rice, 52 boxes of sardines",,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-12,2004-08-12,fd2df8ddcd884fa283fc52f79b2c860b
161,M,Tropical Cyclone,Tropical Depression Lawin,13/08/2004,,,I|II|III|CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-13,2004-08-13,641477b8360c4c3f80266ada90f3b921
162,M,Tropical Cyclone,Typhoon Marce,14/08/2004,,,I|II|III|CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-14,2004-08-14,5597b4a17856453bbcc7b01e693c4cd7
164,I,Armed Conflict,NPA Encounter,1:00-1:30PM 6 August 2004,,,"Brgy Cauyan, Palauig, Zambales",,"314th PMG, PNP-SAF",,,,,,,"4 ( 2 police, 2 NPA)",2 (police),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-06,2004-08-06,0221217bd9f040ce80cb381c51cdeae9
165,I,Armed Conflict,Lawless element,8:00AM 17 August 2004,,,"Brgy. Daplanwan, Datu Piang, Maguindanao del Sur",,"37th Inf Batallion, 6th ID",,,,,,1,"3 (1 trooper, 2 lawless element)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-17,2004-08-17,10a5cc8f3d3e480c986550d95e09164a
166,M,Bacterial Disease,Fecal E. Coli,10 August 2004,,,"East Coast, Zamboanga City",,,,,,,,6,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-10,2004-08-10,6762b74a958a43f6976d234f57f45c0c
168,I,Explosion (Misc),Super Kalan gas explosion at 2231 Singalong St. ,12 August 2004,,,"Brgy. 724, Malate, City of Manila",,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-12,2004-08-12,93d21ebeac6347e7bdc7abe7a6edf7b5
169,I,Explosion (Misc),"LPG Leak at Makati Ave, cor. Burgos St. ",7:00 AM 17 August 2004,,,"Duruban, Makati City",,,,,,"Makati SWAT, PNP, BFP",,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-17,2004-08-17,edb7bb0136a240caabd8374970c477fb
170,I,Poisoning,"Food Poisoning (Pneumonia with parasitism T/C food poisoning, sampled from kising-kising)",2 August 2004,,,"Santiago Sur, Caba, La Union",,,,,,,,,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-02,2004-08-02,6fed744c94a941018ac91bcc5bda71dd
171,M,Earthquake (Ground Movement) (Intensity VIII),,10:00 AM 21/06/1559,14.6,121,City of Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Epicentral parameters of major earthquakes 
1559-1983","Manila: Manila suffered one of the strongest earthquakes it had known resulting in the destruction of the church of San Domingo, fissuring of the stone vault of the church of the Society of Jesus and damage to all principal edifices of the city. Two entire sections of the college of the Society of Jesus were damaged in the earthquake of June 21, as a result of which the community was exposed to the view of its neighbors.  Father Pedro Chirino, S.J. described the earthquake as violent, with damage to many buildings. In the church of the Dominicans or Sto. Domingo, the handsome woodwork was mutilated and the walls so much damaged that as to necessitate demolition of the building. The nave of the Jesuit church was so badly cracked that it had to be removed at once.",,,1559-06-21,1559-06-21,d35bc9dabc6d427f932080dda44634e4
172,M,Earthquake (Ground Movement) (Intensity X),,12/01/1743,14,121.6,"Tayabas, Quezon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Epicentral parameters of major earthquakes 
1559-1983","Tayabas – the church and the monastery, all of stone, are ruined and destroyed to such a degree that not a thing remains which can be put to use. The tower, which was very strong, fell. The façade of the main entrance collapsed and tumbled to the ground. The walls were left very cracked. Two sacristans were buried in the ruins, one of whom was suffocated and the other got out only with great effort. All that night, terrifying noises were heard on the mountain; copious floods of turbulent water rushed down, opened new channels, and closed and levelled old ones. For several days, the earthquakes were more or less continuous and more or less strong. The monastery was totally ruined, the walls crushing and cracking everything below. The inscription was shaken from the cross; although it was made of heavy wood, it was loosened from the large and string wedges with which it was attached to the cross. Lucban – the entire façade of the church collapsed; half the tower collapsed, carrying bells to the ground. The walls of the church remained standing, but so damaged that they cannot be used. The damage to the sacristies was greater; the walls were totally demolished. The monastery also suffered much, for it was demolished to the floor, the boards of the walls being thrown out with all the partitions of the rooms and offices. The cracks which threaten complete ruin are terrible, wherefore it is necessary to take the walls down at once. Majayjay – the tower, which was very high to correspond to the height of the church, came down with the bells, leaving some open walls above and below, the cracks extending into the foundations. The walls of the church, especially on the side of the monastery were cracked from face to face at the middle with some other cracks more or less large and deep. Some ran through and some lengthwise, and many from the top down to the foundations. At the junction of the tower, all of the best construction, there was severe destruction because the stones and the keys were pulled apart at various places. No casualties. Deep cracks were made in the mountain which is called Majayjay, on the side which faces directly toward the town, and they extend from the summit down. Lilio – the tower, with the bells, collapsed, and because they fell from such a height, the result was a mass of ruins. Seeing such a jumbled mass of stones in the patio, some in mixed pieces, some entire, and bells mixed in with them, it did not seem that any natural cause would explain it. One of these dislodged pieces landed on one of the corners of the boys’ school which was also of masonry and totally demolished it; wiped out so that it now looks like a pile of dirt. The principal entrance of the church suffered the most. The entire sacristy was destroyed. The structure of the monastery is in a dreadful state; the common-rooms and the kitchen are totally destroyed. No casualties. Nagcarlan – the church was wholly ruined by the earthquake; the entire roof with its timbers and tiles came to earth; stones were thrown out of the walls. The sacristy was also totally destroyed. The tower was broken into three sections by terrible cracks. The uppermost section, containing the bells, came down with the entire roof towards the rear. The gaps which divide the bays from top to bottom leave lofty hanging walls and peaks, slit in various parts or else leaning. The monastery was totally wrecked and one of the servants were killed and buried in the ruins. In several places, the ground is serrated and torn with cavernous openings and landslides. According to the natives, the mountain has dropped more than 50 brazas (about 300 feet). Sta. Cruz – the whole facade of the church and the sanctuary vault and side naves were totally ruined; the body of the church has several cracks in the walls, which threaten the total ruin of all. No casualties. In the pharmacy, many bottles and flasks were broken, with the loss of the medicine. San Pablo - ruined",,,1743-12-01,1743-12-01,e44e90836cbd419f8542081368416b44
173,M,Earthquake (Ground Movement) (Intensity X),,6:45 AM 13/07/1787,10.7,122.5,Region VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Epicentral parameters of major earthquakes 
1559-1983","Panay Island: Tremendous earthquake felt in the whole island of Panay on the 13th instant (July) at 6:45 in the morning. Iloilo – all of the stone churches of the province, only two remain standing, that of Tigbauan and this one of Guimbal; fort was damaged; those of Jaro, Dumangas, Laglag, Passi, and Alimodian lie in ruins, and in these last towns, the fate of the churches also befell of the parochial houses, which are also of stone. Fifteen persons were buried in the ruins of the church of Laglag. The church of Maasin, although standing, will have to be demolished. A number of persons have perished and some have been injured. The two side walls are so fissured that they will fall of their own accord. Santa Barbara and Pototan – wooden churches were destroyed. Capiz – town of Dumalag in this province, the church and bell towert have been destroyed, both of them of stone and separated from one another. In several towns, many houses sank to the level of their floors. Many fissures opened in the earth and out of them came sand of different colors. Some of the mountains have lost their peaks. In all the churches and convents, numerous bells fell form the belfries and were broken.",,,1787-07-13,1787-07-13,10e6755b86d04312beb3172f7bd9dc40
174,M,Earthquake (Ground Movement) (Intensity X),,2:00 PM 05/11/1796,16.05,120.3,Region 1|Region 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Epicentral parameters of major earthquakes 
1559-1983","Luzon: Cagayan and Ilocos – the earthquake was felt but without damage. Pangasinan – suffered fearful destruction. Nine churches were ruined; the earth opened in different places. The observation that these effects were less and were felt less, as one progressed into provinces more distant from Pangasinan, leads one to believe that the earthquake was centered there. Baguio – two enormous crevasses formed. One was one hundred and eleven varas (400 feet) long and half a vara wide and its was so great that five brazes (some 30 feet) of rope did not reach the bottom; and the second was twenty-nine brazes (about 175 feet) long, two wide, and its depth unknown. Pongot – inhabited by Pagans, a hill of considerable size was levelled and a lake took its place. In other places, sand and water were thrown up from great rifts. Zambales – two churches totally destroyed. Camarines and Albay – the earthquake was perceptible but light. Nothing unusual occurred. Manila – some walls were shaken, some of the houses were split, some arches of the palace were cracked and the barracks of the Royal Regiment were damaged, but none seriously. Water overflowed from troughs and many wells. A large vessel which had been full of water lost three inches of water; the laps oscillated, and the motion of a carriage at the entrance was that of one which passes over a half-paved street. Inside the house, the main columns which supported the roof was split in two. High seas 33 miles from Manila – on board as English ship, the main mast jolted upwards and fell on the rail. All parts of the ship creaked.",,,1796-05-11,1796-05-11,6c88decb47ae42f0b8e8c2d0cf99dad3
